layer,relation_group_id,accuracy,macro_f1,nb_test_examples,nb_train_examples,tn,fp,fn,tp
27.0,hierarchy,0.5217391304347826,0.486815415821501,46.0,4110.0,6.0,17.0,5.0,18.0
0.0,occupy-position,0.34558823529411764,0.3296039878150097,136.0,4020.0,13.0,55.0,34.0,34.0
1.0,occupy-position,0.6323529411764706,0.5800395256916996,136.0,4020.0,67.0,1.0,49.0,19.0
2.0,occupy-position,0.4632352941176471,0.3165829145728643,136.0,4020.0,0.0,68.0,5.0,63.0
3.0,occupy-position,0.5367647058823529,0.4102016933984993,136.0,4020.0,68.0,0.0,63.0,5.0
4.0,occupy-position,0.4852941176470588,0.32673267326732675,136.0,4020.0,0.0,68.0,2.0,66.0
5.0,occupy-position,0.5,0.3333333333333333,136.0,4020.0,0.0,68.0,0.0,68.0
6.0,occupy-position,0.5220588235294118,0.5218261481040731,136.0,4020.0,34.0,34.0,31.0,37.0
7.0,occupy-position,0.5220588235294118,0.4364760629820871,136.0,4020.0,62.0,6.0,59.0,9.0
8.0,occupy-position,0.5220588235294118,0.38056197883820336,136.0,4020.0,68.0,0.0,65.0,3.0
9.0,occupy-position,0.375,0.2727272727272727,136.0,4020.0,0.0,68.0,17.0,51.0
10.0,occupy-position,0.5661764705882353,0.5179912296509881,136.0,4020.0,17.0,51.0,8.0,60.0
11.0,occupy-position,0.5882352941176471,0.5607843137254902,136.0,4020.0,23.0,45.0,11.0,57.0
12.0,occupy-position,0.6029411764705882,0.5286264441591785,136.0,4020.0,68.0,0.0,54.0,14.0
13.0,occupy-position,0.5367647058823529,0.4102016933984993,136.0,4020.0,5.0,63.0,0.0,68.0
14.0,occupy-position,0.7132352941176471,0.6995751911639763,136.0,4020.0,63.0,5.0,34.0,34.0
15.0,occupy-position,0.6470588235294118,0.6171710063335679,136.0,4020.0,25.0,43.0,5.0,63.0
16.0,occupy-position,0.5588235294117647,0.532967032967033,136.0,4020.0,22.0,46.0,14.0,54.0
17.0,occupy-position,0.6911764705882353,0.6887532693984306,136.0,4020.0,41.0,27.0,15.0,53.0
18.0,occupy-position,0.7720588235294118,0.7595665811234673,136.0,4020.0,68.0,0.0,31.0,37.0
19.0,occupy-position,0.6617647058823529,0.6362790697674419,136.0,4020.0,27.0,41.0,5.0,63.0
20.0,occupy-position,0.5588235294117647,0.5553618134263296,136.0,4020.0,32.0,36.0,24.0,44.0
21.0,occupy-position,0.5588235294117647,0.4898724681170292,136.0,4020.0,13.0,55.0,5.0,63.0
22.0,occupy-position,0.6691176470588235,0.6284378604820593,136.0,4020.0,68.0,0.0,45.0,23.0
23.0,occupy-position,0.5882352941176471,0.5808936825885979,136.0,4020.0,49.0,19.0,37.0,31.0
24.0,occupy-position,0.5,0.3333333333333333,136.0,4020.0,0.0,68.0,0.0,68.0
25.0,occupy-position,0.5441176470588235,0.5416394868449663,136.0,4020.0,42.0,26.0,36.0,32.0
26.0,occupy-position,0.6029411764705882,0.5653409090909092,136.0,4020.0,61.0,7.0,47.0,21.0
27.0,occupy-position,0.4632352941176471,0.35828323960959213,136.0,4020.0,59.0,9.0,64.0,4.0
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
,naming-reference,,,,,,,,
0.0,play-instrument,0.5,0.40476190476190477,20.0,4136.0,1.0,9.0,1.0,9.0
1.0,play-instrument,0.5,0.3333333333333333,20.0,4136.0,0.0,10.0,0.0,10.0
2.0,play-instrument,0.5,0.3333333333333333,20.0,4136.0,0.0,10.0,0.0,10.0
3.0,play-instrument,0.5,0.3333333333333333,20.0,4136.0,0.0,10.0,0.0,10.0
4.0,play-instrument,0.5,0.3333333333333333,20.0,4136.0,10.0,0.0,10.0,0.0
5.0,play-instrument,0.55,0.48717948717948717,20.0,4136.0,9.0,1.0,8.0,2.0
6.0,play-instrument,0.5,0.3333333333333333,20.0,4136.0,10.0,0.0,10.0,0.0
7.0,play-instrument,0.5,0.3333333333333333,20.0,4136.0,0.0,10.0,0.0,10.0
8.0,play-instrument,0.65,0.6419437340153453,20.0,4136.0,5.0,5.0,2.0,8.0
9.0,play-instrument,0.5,0.3333333333333333,20.0,4136.0,10.0,0.0,10.0,0.0
10.0,play-instrument,0.45,0.41333333333333333,20.0,4136.0,7.0,3.0,8.0,2.0
11.0,play-instrument,0.5,0.40476190476190477,20.0,4136.0,1.0,9.0,1.0,9.0
12.0,play-instrument,0.45,0.4373401534526854,20.0,4136.0,6.0,4.0,7.0,3.0
13.0,play-instrument,0.7,0.6875,20.0,4136.0,5.0,5.0,1.0,9.0
14.0,play-instrument,0.4,0.34065934065934067,20.0,4136.0,1.0,9.0,3.0,7.0
15.0,play-instrument,0.65,0.6491228070175439,20.0,4136.0,6.0,4.0,3.0,7.0
16.0,play-instrument,0.45,0.41333333333333333,20.0,4136.0,2.0,8.0,3.0,7.0
17.0,play-instrument,0.5,0.3333333333333333,20.0,4136.0,0.0,10.0,0.0,10.0
18.0,play-instrument,0.85,0.849624060150376,20.0,4136.0,8.0,2.0,1.0,9.0
19.0,play-instrument,0.65,0.6419437340153453,20.0,4136.0,5.0,5.0,2.0,8.0
20.0,play-instrument,0.7,0.6703296703296704,20.0,4136.0,4.0,6.0,0.0,10.0
21.0,play-instrument,0.5,0.40476190476190477,20.0,4136.0,1.0,9.0,1.0,9.0
22.0,play-instrument,0.5,0.3333333333333333,20.0,4136.0,0.0,10.0,0.0,10.0
23.0,play-instrument,0.5,0.3333333333333333,20.0,4136.0,0.0,10.0,0.0,10.0
24.0,play-instrument,0.6,0.5833333333333333,20.0,4136.0,4.0,6.0,2.0,8.0
25.0,play-instrument,0.75,0.7493734335839599,20.0,4136.0,7.0,3.0,2.0,8.0
26.0,play-instrument,0.45,0.3103448275862069,20.0,4136.0,0.0,10.0,1.0,9.0
27.0,play-instrument,0.6,0.5238095238095238,20.0,4136.0,2.0,8.0,0.0,10.0
